"Account: Account Name","Location Name","Location Type","Product Item Number","Product Code","Product Description","Quantity On Hand","Product Price","Actual Quantity On-Hand","Last Modified Date"
"","Shafique Sayyed - Inventory","Van","PI-89454","RA1237","Blade_Aluminium_Sand Grey_1200mm_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-95380","A141701","Surge Protection Device Module Assembly_CF","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3389","SA0056","Stator_CF_1200mm_Renesa/Renesa+/Renesa Smart_GV3","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3390","SA0043","Motor Housing_Ivory_CF_Renesa_GV3","0.00","590","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3391","RA1238","Deactivated - Motor Housing_Golden_CF_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3392","SA0044","Motor Housing_Pearl White_CF_Renesa+/Renesa Smart_GV3","0.00","590","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3393","RA1239","Deactivated - Motor Housing_Sandan Grey_CF_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3394","SA0045","Motor Housing_Earth Brown_CF_Renesa+/Renesa Smart_GV3","0.00","590","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3395","SA0040","Motor Housing_Black_CF_Renesa_GV3","0.00","590","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3396","SA0041","Motor Housing_White_CF_Renesa_GV3","0.00","590","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-3397","SA0042","Motor Housing_Brown_CF_Renesa_GV3","0.00","590","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-48084","SRA026303","Motor_Gloss Brown_1200mm_Ameza_GV5","0.00","2500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50019","RA0082","Blade_Aluminium_Brown_1400mm_Renesa/Renesa+/Renesa Smart_GV3 & GV5","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50020","SRMF0035","Motor_Pearl White_1200mm_Renesa Smart+_GV3","0.00","2500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50021","RA0070","Blade_Aluminium_White_1200mm_Renesa_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50488","SA0011","Consolidate PCB GV3_CF_Renesa+_GV3","0.00","350","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50489","SA0061","Power PCB (Without Potting) WH_CF_Renesa_GV3","0.00","400","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50490","SA0060","Power PCB (Without Potting) BL_CF_Renesa_GV3","0.00","400","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-50491","RA0071","Blade_Aluminium_Earth Brown_1200mm_Renesa+/Renesa Smart_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-52563","EA01701","PCB_Erica/Ameza/Renesa Zen_GV5 (STM8s,70micron single LED)","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-52564","RA0073","Blade_Aluminium_Ivory_1200mm_Renesa_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-54004","SRMF0032","Motor_Brown_1400mm_Renesa_GV3","0.00","2500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-54005","SRA1X1278","Motor_Gloss White_1200mm_Ikano_GV5","0.00","2500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-54006","SA0057","Stator_CF_1200mm_Efficio/Efficio+/Studio_GV2","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55577","EA04101","PCB_Renesa/Renesa+/Ikano/Sudio+ STM8s, 70micron  (6 LED)_GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55578","SA0019","Consolidate PCB GV2_CF__Efficio_GV2","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55579","RA0157","Remote_CF_Renesa_GV3","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55580","RA0028","Bearing 6202_CF","0.00","60","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55581","A1X0601","CF_Universal Remote New","0.00","250","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55582","RA0345","Circlip Pin_CF_Renesa_GV3","0.00","9","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55583","SA0098","Stator_CF_1400mm_Renesa/Renesa+/Renesa Smart_GV3","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55584","SA0039","PCB_Remote_1200mm_Studio+_GV4","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55838","A1X0135","Deactivated - Bottom Body Assembly_Brown_Efficio Alpha/Ikano_GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55839","A1X0136","Deactivated - Bottom Body Assembly_Ivory_Efficio Alpha/Ikano _GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55840","A1X0134","Deactivated - Bottom Body_Plastic_Gloss Black_Ikano_GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-55841","SA0102","Motor Housing_Aegean Blue_CF_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63030","EA03201","PCB Without LED Strip_PCB_GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63031","EA17601","PCB With LED Strip__Aris Starlight_GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63078","RA1250","Deactivated - Blade_Aluminium_Earth Brown_1200mm_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63079","SA0038","PCB_Regulator_1200mm_Renesa Alpha_GV4","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63080","SRMASS0058","Digital PCB_Efficio+_Wall Mount_TPW","0.00","350","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63081","RA1105","Master Remote (Tech Use only)","0.00","250","0.00","10/12/2024"
